nsf_proposal_links_v0,researcher_name,team
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Shubhajit Sadhukhan,"['Shubhajit Sadhukhan', 'E Rajasekar']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Shubhajit Sadhukhan,"['Shubhajit Sadhukhan', 'Maya S.Nair']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Smriti Saraswat,"['Smriti Saraswat', 'Millie Pant', 'Ranjana Pathania', 'Shri Ram Yadav', 'Sonal Atreya']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Smriti Saraswat,"['Smriti Saraswat', 'Uttam Kumar Roy', 'Ramasare Prasad', 'Millie Pant']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Smriti Saraswat,"['Smriti Saraswat', 'Avlokita Agrawal', 'Prabhat Kumar Mandal', 'Deepak Sharma']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Smriti Saraswat,"['Smriti Saraswat', 'N K Navani', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Smriti Saraswat,"['Smriti Saraswat', 'Ramasare Prasad', 'Arindam Biswas', 'Avlokita Agrawal']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Smriti Saraswat,"['Smriti Saraswat', 'Shri Ram Yadav', 'Bijan Choudhury']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Smriti Saraswat,"['Smriti Saraswat', 'Prabhjot Singh Chani', 'Uttam Kumar Roy']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Smriti Saraswat,"['Smriti Saraswat', 'Uttam Kumar Roy', 'Shailly Tomar']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Smriti Saraswat,"['Smriti Saraswat', 'Krishna Mohan Poluri']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Smriti Saraswat,"['Smriti Saraswat', 'Prince Tiwari']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Sonal Atreya,"['Sonal Atreya', 'Jitin Singla', 'Sanjoy Ghosh', 'Krishna Mohan Poluri', 'Soma Rohatgi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Sonal Atreya,"['Sonal Atreya', 'R. P. Singh', 'Mahua Mukherjee', 'Sachin Suresh Tiwari']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Sonal Atreya,"['Sonal Atreya', 'Rajesh Kumar', 'Prabhat Kumar Mandal', 'Soma Rohatgi', 'Smriti Saraswat']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Sonal Atreya,"['Sonal Atreya', 'Harshit Sosan Lakra', 'Akhil Upadhyay', 'E Rajasekar', 'Ram Sateesh Pasupuleti']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Sonal Atreya,"['Sonal Atreya', 'Ranjana Pathania', 'Ramasare Prasad', 'Rajan Arora', 'Pravindra Kumar']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Sonal Atreya,"['Sonal Atreya', 'Ranjana Pathania', 'Sanjoy Ghosh']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Sonal Atreya,"['Sonal Atreya', 'Shailly Tomar', 'Bijan Choudhury']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Sonal Atreya,"['Sonal Atreya', 'Sachin Suresh Tiwari', 'Debabrata Sircar', 'Maya S.Nair']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Sonal Atreya,"['Sonal Atreya', 'Avlokita Agrawal', 'Uttam Kumar Roy', 'N K Navani']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Sonal Atreya,"['Sonal Atreya', 'Deepak Sharma', 'Uttam Kumar Roy']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Tina Pujara,"['Tina Pujara', 'Avlokita Agrawal', 'P Gopinath', 'Sachin Suresh Tiwari', 'Krishna Mohan Poluri']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Tina Pujara,"['Tina Pujara', 'Shubhajit Sadhukhan', 'Shri Ram Yadav', 'Arindam Biswas', 'P Gopinath']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Tina Pujara,"['Tina Pujara', 'Prabhat Kumar Mandal', 'Prabhjot Singh Chani', 'Srinivas Kiran Ambatipudi', 'Rajesh Kumar']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Tina Pujara,"['Tina Pujara', 'N K Navani', 'Gaurav Raheja', 'P Gopinath']"
