nsf_proposal_links_v0,researcher,pseudo_skills
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Ashwani Kumar Sharma,"['application', 'department', 'financial support', 'india', 'major', 'number', 'objective', 'result', 'support', 'young researcher']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Bijan Choudhury,"['application', 'department', 'financial support', 'india', 'major', 'number', 'objective', 'result', 'support', 'young researcher']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Debabrata Sircar,"['application', 'department', 'financial support', 'india', 'major', 'number', 'objective', 'result', 'support', 'young researcher']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Deepak Sharma,"['application', 'department', 'financial support', 'india', 'major', 'number', 'objective', 'result', 'support', 'young researcher']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,P Gopinath,"['application', 'department', 'financial support', 'india', 'major', 'number', 'objective', 'result', 'support', 'young researcher']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Harsh Chauhan,"['application', 'department', 'financial support', 'india', 'major', 'number', 'objective', 'result', 'support', 'young researcher']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Srinivas Kiran Ambatipudi,"['application', 'department', 'financial support', 'india', 'result', 'support']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Krishna Mohan Poluri,"['application', 'department', 'financial support', 'india', 'major', 'number', 'objective', 'result', 'support', 'young researcher']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Maya S.Nair,"['application', 'department', 'financial support', 'india', 'major', 'number', 'objective', 'result', 'support', 'young researcher']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,N K Navani,"['application', 'department', 'financial support', 'india', 'major', 'number', 'objective', 'result', 'support', 'young researcher']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Partha Roy,"['application', 'department', 'financial support', 'india', 'major', 'number', 'objective', 'result', 'support', 'young researcher']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Poonam Choudhary,"['application', 'department', 'financial support', 'india', 'major', 'number', 'objective', 'result', 'support', 'young researcher']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Prabhat Kumar Mandal,"['application', 'department', 'financial support', 'india', 'major', 'number', 'objective', 'result', 'support', 'young researcher']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Pranita P Sarangi,"['department', 'financial support', 'india', 'major', 'number', 'objective', 'result', 'support', 'young researcher']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Pravindra Kumar,"['application', 'department', 'financial support', 'india', 'major', 'number', 'objective', 'result', 'support', 'young researcher']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Prince Tiwari,"['application', 'department', 'financial support', 'india', 'major', 'number', 'objective', 'result', 'support', 'young researcher']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,R. P. Singh,"['application', 'department', 'financial support', 'india', 'major', 'number', 'objective', 'result', 'support', 'young researcher']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Ramasare Prasad,"['application', 'department', 'financial support', 'india', 'major', 'number', 'objective', 'result', 'support', 'young researcher']"
