nsf_proposal_links_v0,researcher,pseudo_skills
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,P Gopinath,"['artificial intelligence', 'computer', 'design', 'modeling', 'software']"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,Harsh Chauhan,"['artificial intelligence', 'computer', 'design', 'modeling', 'software']"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,Srinivas Kiran Ambatipudi,[]
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,Krishna Mohan Poluri,"['artificial intelligence', 'computer', 'design', 'modeling', 'software']"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,Maya S.Nair,"['artificial intelligence', 'computer', 'design', 'modeling', 'software']"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,N K Navani,"['artificial intelligence', 'computer', 'design', 'modeling', 'software']"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,Partha Roy,"['artificial intelligence', 'computer', 'design', 'modeling', 'software']"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,Poonam Choudhary,"['artificial intelligence', 'computer', 'design', 'modeling', 'software']"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,Prabhat Kumar Mandal,"['artificial intelligence', 'computer', 'design', 'modeling', 'software']"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,Pranita P Sarangi,"['computer', 'modeling', 'software']"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,Pravindra Kumar,"['artificial intelligence', 'computer', 'design', 'modeling', 'software']"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,Prince Tiwari,"['artificial intelligence', 'computer', 'design', 'modeling', 'software']"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,R. P. Singh,"['artificial intelligence', 'computer', 'design', 'modeling', 'software']"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,Ramasare Prasad,"['artificial intelligence', 'computer', 'design', 'modeling', 'software']"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,Ranjana Pathania,"['artificial intelligence', 'computer', 'design', 'modeling', 'software']"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,Sanjoy Ghosh,"['artificial intelligence', 'computer', 'design', 'modeling', 'software']"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,Saugata Hazra,"['artificial intelligence', 'computer', 'design', 'modeling', 'software']"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,Shailly Tomar,"['artificial intelligence', 'computer', 'design', 'modeling', 'software']"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,Shri Ram Yadav,"['artificial intelligence', 'computer', 'design', 'modeling', 'software']"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,Soma Rohatgi,"['artificial intelligence', 'computer', 'design', 'modeling', 'software']"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,Sachin Suresh Tiwari,"['artificial intelligence', 'computer', 'design', 'modeling', 'software']"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,Jitin Singla,"['artificial intelligence', 'computer', 'design', 'modeling', 'software']"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,Rajesh Kumar,"['artificial intelligence', 'computer', 'design', 'modeling', 'software']"
v0_004_advertisement_for_submission_of_research_proposal_under_cognitive_science_research_initiative,Akhil Upadhyay,"['artificial intelligence', 'computer', 'design', 'modeling', 'software']"
v0_005_invites_science_and_technology_project_proposals___ministry_of_mines,Arindam Biswas,"['aspect', 'efficiency', 'land', 'material', 'sea', 'waste']"
v0_005_invites_science_and_technology_project_proposals___ministry_of_mines,Avlokita Agrawal,"['aspect', 'efficiency', 'input', 'land', 'material', 'sea', 'waste']"
v0_005_invites_science_and_technology_project_proposals___ministry_of_mines,Gaurav Raheja,"['aspect', 'efficiency', 'input', 'land', 'material', 'sea', 'waste']"
v0_005_invites_science_and_technology_project_proposals___ministry_of_mines,Harshit Sosan Lakra,"['material', 'sea']"
v0_005_invites_science_and_technology_project_proposals___ministry_of_mines,Mahua Mukherjee,"['aspect', 'efficiency', 'input', 'land', 'material', 'sea', 'waste']"
v0_005_invites_science_and_technology_project_proposals___ministry_of_mines,Prabhjot Singh Chani,"['aspect', 'efficiency', 'input', 'land', 'material', 'sea', 'waste']"
v0_005_invites_science_and_technology_project_proposals___ministry_of_mines,E Rajasekar,"['aspect', 'efficiency', 'input', 'land', 'material', 'sea', 'waste']"
v0_005_invites_science_and_technology_project_proposals___ministry_of_mines,Ram Sateesh Pasupuleti,"['aspect', 'efficiency', 'input', 'land', 'material', 'sea', 'waste']"
v0_005_invites_science_and_technology_project_proposals___ministry_of_mines,Saptarshi Kolay,"['aspect', 'efficiency', 'input', 'land', 'material', 'sea', 'waste']"
v0_005_invites_science_and_technology_project_proposals___ministry_of_mines,Shubhajit Sadhukhan,"['aspect', 'efficiency', 'input', 'land', 'material', 'sea', 'waste']"
v0_005_invites_science_and_technology_project_proposals___ministry_of_mines,Smriti Saraswat,"['aspect', 'efficiency', 'input', 'land', 'material', 'sea', 'waste']"
v0_005_invites_science_and_technology_project_proposals___ministry_of_mines,Sonal Atreya,"['aspect', 'efficiency', 'input', 'material', 'sea', 'waste']"
v0_005_invites_science_and_technology_project_proposals___ministry_of_mines,Tina Pujara,"['aspect', 'efficiency', 'input', 'land', 'material', 'sea', 'waste']"
v0_005_invites_science_and_technology_project_proposals___ministry_of_mines,Uttam Kumar Roy,"['aspect', 'efficiency', 'input', 'land', 'material', 'sea', 'waste']"
v0_005_invites_science_and_technology_project_proposals___ministry_of_mines,V Devadas,"['aspect', 'efficiency', 'input', 'land', 'material', 'sea', 'waste']"
v0_005_invites_science_and_technology_project_proposals___ministry_of_mines,Jaydev Dabas,"['aspect', 'efficiency', 'input', 'land', 'material', 'sea', 'waste']"
v0_005_invites_science_and_technology_project_proposals___ministry_of_mines,Millie Pant,"['aspect', 'efficiency', 'input', 'land', 'material', 'sea', 'waste']"
v0_005_invites_science_and_technology_project_proposals___ministry_of_mines,Rajan Arora,"['aspect', 'efficiency', 'input', 'land', 'material', 'sea', 'waste']"
v0_005_invites_science_and_technology_project_proposals___ministry_of_mines,Ashwani Kumar Sharma,"['aspect', 'efficiency', 'input', 'land', 'material', 'sea', 'waste']"
v0_005_invites_science_and_technology_project_proposals___ministry_of_mines,Bijan Choudhury,"['aspect', 'efficiency', 'input', 'land', 'material', 'sea', 'waste']"
v0_005_invites_science_and_technology_project_proposals___ministry_of_mines,Debabrata Sircar,"['aspect', 'efficiency', 'input', 'land', 'material', 'sea', 'waste']"
v0_005_invites_science_and_technology_project_proposals___ministry_of_mines,Deepak Sharma,"['aspect', 'efficiency', 'input', 'land', 'material', 'sea', 'waste']"
v0_005_invites_science_and_technology_project_proposals___ministry_of_mines,P Gopinath,"['aspect', 'efficiency', 'input', 'land', 'material', 'sea', 'waste']"
v0_005_invites_science_and_technology_project_proposals___ministry_of_mines,Harsh Chauhan,"['aspect', 'efficiency', 'input', 'land', 'material', 'sea', 'waste']"
v0_005_invites_science_and_technology_project_proposals___ministry_of_mines,Srinivas Kiran Ambatipudi,"['land', 'material', 'sea']"
v0_005_invites_science_and_technology_project_proposals___ministry_of_mines,Krishna Mohan Poluri,"['aspect', 'efficiency', 'input', 'land', 'material', 'sea', 'waste']"
v0_005_invites_science_and_technology_project_proposals___ministry_of_mines,Maya S.Nair,"['aspect', 'efficiency', 'input', 'land', 'material', 'sea', 'waste']"
