,nsf_proposal_links_v1,skills
100,https://www.nsf.gov/pubs/2017/nsf17518/nsf17518.htm,"{'robotics', 'development', 'united state'}"
101,https://www.nsf.gov/pubs/2017/nsf17517/nsf17517.htm,"{'chemical', 'national science', 'engineering', 'science foundation', 'transport process', 'foundation nsf', 'combustion', 'thermal transport'}"
102,https://www.nsf.gov/pubs/2017/nsf17504/nsf17504.htm,"{'earth science', 'area'}"
103,https://www.nsf.gov/pubs/2017/nsf17503/nsf17503.htm,"{'national science', 'science foundation', 'industry', 'development', 'foundation nsf', 'program level', 'higher education'}"
104,https://www.nsf.gov/pubs/2016/nsf16616/nsf16616.htm,"{'national science', 'engineering', 'science foundation', 'computer information', 'directorate engineering', 'information science', 'service', 'security', 'science engineering', 'energy'}"
105,https://www.nsf.gov/pubs/2016/nsf16613/nsf16613.htm,"{'system design', 'engineering', 'discovery', 'material science', 'material', 'development', 'coordination activity', 'advanced material', 'property', 'science engineering'}"
106,https://www.nsf.gov/pubs/2016/nsf16611/nsf16611.htm,"{'protocol development', 'national science', 'efficient operation', 'science foundation', 'earth science', 'development', 'area'}"
107,https://www.nsf.gov/pubs/2016/nsf16608/nsf16608.htm,"{'communication', 'actuation'}"
108,https://www.nsf.gov/pubs/2016/nsf16607/nsf16607.htm,"{'theoretical foundation', 'computer science'}"
109,https://www.nsf.gov/pubs/2016/nsf16605/nsf16605.htm,{'year'}
110,https://www.nsf.gov/pubs/2016/nsf16604/nsf16604.htm,"{'industry future', 'foundation nsf', 'science foundation', 'national science', 'area', 'year', 'nanotechnology', 'industry'}"
111,https://www.nsf.gov/pubs/2016/nsf16603/nsf16603.htm,"{'computer architecture', 'learning', 'machine learning', 'artificial intelligence', 'including limited', 'algorithm', 'data analytics', 'computational model', 'computing information', 'programming language', 'area', 'design analysis', 'computer science'}"
112,https://www.nsf.gov/pubs/2016/nsf16601/nsf16601.htm,"{'learning', 'national science', 'process modeling', 'nih', 'machine learning', 'decision support', 'national institute', 'science foundation', 'health care', 'health', 'clinical practice', 'development', 'foundation nsf', 'modeling', 'support system', 'area'}"
113,https://www.nsf.gov/pubs/2016/nsf16598/nsf16598.htm,"{'theoretical experimental', 'physic', 'wave propagation', 'material', 'composition', 'property', 'experimental study'}"
114,https://www.nsf.gov/pubs/2016/nsf16597/nsf16597.htm,"{'thin film', 'national science', 'science foundation', 'discovery', 'material', 'objective program', 'development', 'composite', 'mechanism associated', 'development new', 'processing', 'property', 'synthesis', 'fundamental understanding', 'nucleation'}"
115,https://www.nsf.gov/pubs/2016/nsf16596/nsf16596.htm,"{'soft material', 'electronic photonic', 'biomaterials', 'material state', 'chemistry', 'polymeric material', 'statistical mechanic', 'molecular dynamic', 'broad spectrum', 'physic', 'material soft', 'material', 'development', 'polymer', 'dynamic', 'solid state', 'modeling', 'property', 'fundamental understanding', 'area', 'soft matter', 'well predictive'}"
116,https://www.nsf.gov/pubs/2016/nsf16591/nsf16591.htm,"{'industry', 'test bed', 'service', 'composition'}"
117,https://www.nsf.gov/pubs/2016/nsf16581/nsf16581.htm,"{'science foundation', 'national science', 'project develop', 'intelligent system'}"
118,https://www.nsf.gov/pubs/2016/nsf16580/nsf16580.htm,"{'engineering', 'problem involving', 'cyber system', 'security'}"
119,https://www.nsf.gov/pubs/2016/nsf16573/nsf16573.htm,"{'big data', 'biomedical'}"
120,https://www.nsf.gov/pubs/2016/nsf16569/nsf16569.htm,"{'theoretical framework', 'experimental theoretical', 'development', 'instrumentation technique'}"
121,https://www.nsf.gov/pubs/2016/nsf16564/nsf16564.htm,"{'applied mathematics', 'engineering', 'material science', 'physic', 'material', 'plasma', 'property', 'science engineering'}"
122,https://www.nsf.gov/pubs/2016/nsf16559/nsf16559.htm,"{'national science', 'engineering', 'science foundation', 'science technology', 'track', 'teaching'}"
123,https://www.nsf.gov/pubs/2016/nsf16543/nsf16543.htm,"{'national science', 'statistic', 'national institute', 'biomedical', 'science foundation', 'health', 'biomedical science', 'support interface'}"
124,https://www.nsf.gov/pubs/2016/nsf16537/nsf16537.htm,"{'national science', 'engineering', 'science foundation', 'computer information', 'information science', 'service', 'science engineering'}"
125,https://www.nsf.gov/pubs/2016/nsf16535/nsf16535.htm,{'computing information'}
126,https://www.nsf.gov/pubs/2016/nsf16532/nsf16532.htm,"{'national science', 'engineering', 'science foundation', 'discovery', 'development', 'science engineering'}"
127,https://www.nsf.gov/pubs/2016/nsf16518/nsf16518.htm,"{'chemical', 'national science', 'engineering', 'science foundation', 'foundation nsf', 'dynamic', 'fluid dynamic'}"
128,https://www.nsf.gov/pubs/2016/nsf16517/nsf16517.htm,"{'national science', 'united state', 'nih', 'doe', 'robotics', 'national institute', 'science foundation', 'department defense', 'department energy', 'health', 'development', 'foundation nsf', 'application area', 'nasa', 'area', 'energy'}"
129,https://www.nsf.gov/pubs/2016/nsf16515/nsf16515.htm,"{'computer architecture', 'learning', 'machine learning', 'artificial intelligence', 'including limited', 'algorithm', 'data analytics', 'computational model', 'computing information', 'programming language', 'area', 'design analysis', 'computer science'}"
130,https://www.nsf.gov/pubs/2016/nsf16513/nsf16513.htm,"{'characterization evaluation', 'national science', 'manufacturing process', 'engineering', 'production', 'science foundation', 'industrially relevant', 'environmental health', 'health safety', 'industry', 'health', 'nanomaterials', 'industry future', 'foundation nsf', 'year', 'area', 'low cost'}"
131,https://www.nsf.gov/pubs/2015/nsf15610/nsf15610.htm,"{'industry', 'test bed', 'service', 'composition'}"
132,https://www.nsf.gov/pubs/2015/nsf15608/nsf15608.htm,"{'system design', 'engineering', 'computational method', 'discovery', 'material science', 'material', 'development', 'advanced material', 'visual analytics', 'property', 'science engineering'}"
133,https://www.nsf.gov/pubs/2015/nsf15601/nsf15601.htm,"{'applied mathematics', 'engineering', 'material science', 'physic', 'material', 'plasma', 'property', 'science engineering'}"
134,https://www.nsf.gov/pubs/2015/nsf15595/nsf15595.htm,"{'theoretical foundation', 'computer science'}"
135,https://www.nsf.gov/pubs/2015/nsf15591/nsf15591.htm,{'general'}
136,https://www.nsf.gov/pubs/2015/nsf15582/nsf15582.htm,"{'national science', 'science foundation', 'continued advancement', 'development'}"
137,https://www.nsf.gov/pubs/2015/nsf15574/nsf15574.htm,"{'project develop', 'intelligent system'}"
138,https://www.nsf.gov/pubs/2015/nsf15563/nsf15563.htm,"{'engineering', 'engineering activity', 'science engineering', 'area', 'creating new'}"
139,https://www.nsf.gov/pubs/2015/nsf15559/nsf15559.htm,"{'chemical', 'chemistry', 'broad spectrum', 'material', 'modeling', 'biological process'}"
140,https://www.nsf.gov/pubs/2015/nsf15558/nsf15558.htm,"{'chemical', 'engineering', 'also interested', 'energy transport', 'synthesis', 'science engineering', 'biological process', 'energy'}"
141,https://www.nsf.gov/pubs/2015/nsf15551/nsf15551.htm,"{'engineering', 'science technology', 'foundation nsf', 'national science', 'science foundation'}"
142,https://www.nsf.gov/pubs/2015/nsf15550/nsf15550.htm,"{'national science', 'engineering', 'science foundation', 'computer information', 'information science', 'service', 'science engineering'}"
143,https://www.nsf.gov/pubs/2015/nsf15539/nsf15539.htm,"{'engineering', 'dynamic'}"
144,https://www.nsf.gov/pubs/2015/nsf15536/nsf15536.htm,"{'engineering', 'computer science'}"
145,https://www.nsf.gov/pubs/2015/nsf15530/nsf15530.htm,"{'engineering', 'science technology', 'computer science'}"
146,https://www.nsf.gov/pubs/2015/nsf15524/nsf15524.htm,"{'engineering', 'science engineering'}"
147,https://www.nsf.gov/pubs/2015/nsf15522/nsf15522.htm,"{'engineering', 'discovery', 'material', 'material engineering', 'advanced material', 'developing new'}"
148,https://www.nsf.gov/pubs/2015/nsf15521/nsf15521.htm,"{'engineering', 'science technology', 'statistic', 'foundation nsf', 'science engineering', 'national science', 'science foundation', 'united state'}"
149,https://www.nsf.gov/pubs/2015/nsf15515/nsf15515.htm,"{'computer architecture', 'learning', 'machine learning', 'including limited', 'algorithm', 'data analytics', 'computational model', 'programming language', 'area', 'design analysis', 'computer science'}"
150,https://www.nsf.gov/pubs/2015/nsf15512/nsf15512.htm,"{'science computer', 'information science', 'computer information', 'area'}"
151,https://www.nsf.gov/pubs/2015/nsf15511/nsf15511.htm,{'general'}
152,https://www.nsf.gov/pubs/2015/nsf15507/nsf15507.htm,"{'characterization evaluation', 'national science', 'production', 'science foundation', 'industrially relevant', 'environmental health', 'health safety', 'industry', 'health', 'nanomaterials', 'industry future', 'foundation nsf', 'year', 'nanotechnology', 'area', 'low cost'}"
153,https://www.nsf.gov/pubs/2015/nsf15506/nsf15506.htm,"{'engineering', 'including medical', 'broad spectrum', 'science technology', 'material'}"
154,https://www.nsf.gov/pubs/2015/nsf15505/nsf15505.htm,"{'national science', 'united state', 'nih', 'robotics', 'national institute', 'science foundation', 'health', 'development', 'foundation nsf', 'nasa'}"
155,https://www.nsf.gov/pubs/2014/nsf14602/nsf14602.htm,"{'engineering', 'dynamic'}"
156,https://www.nsf.gov/pubs/2014/nsf14596/nsf14596.htm,"{'project develop', 'intelligent system'}"
157,https://www.nsf.gov/pubs/2014/nsf14591/nsf14591.htm,"{'system design', 'engineering', 'computational method', 'discovery', 'material science', 'material', 'development', 'advanced material', 'visual analytics', 'property', 'science engineering'}"
158,https://www.nsf.gov/pubs/2014/nsf14581/nsf14581.htm,"{'advance understanding', 'involving multiple'}"
